Recipe,Meal_Type
Spiced Chickpea Curry with Coconut Milk,dinner
One-Pan Lemon Garlic Salmon with Asparagus,dinner
Penne Arrabbiata,dinner
Chicken Fajitas,dinner
Beef and Broccoli Stir-fry,dinner
Tuscan White Bean Soup,lunch
Greek Yogurt Marinade Chicken Souvlaki,dinner
Pad Thai,dinner
Ratatouille,dinner
Chicken Tikka Masala,dinner
Caprese Salad,lunch
Beef Stroganoff,dinner
Kung Pao Chicken,dinner
Salmon with Lemon Dill Sauce,dinner
Scrambled Eggs,breakfast
Pasta Primavera,dinner
Beef Wellington,dinner
Tuna Salad Sandwich,lunch
Chicken Pot Pie,dinner
Sushi Bake,dinner
Greek Yogurt Parfait with Granola and Berries,breakfast
Shakshuka,breakfast
Chicken Alfredo,dinner
Tacos,dinner
Mushroom Risotto,dinner
Avocado Toast,breakfast
Lasagna,dinner
Bibimbap,dinner
Chicken Noodle Soup,lunch
Hummus and Veggie Wrap,lunch
Beef Bourguignon,dinner
Fish Tacos,lunch
Black Bean Burgers,lunch
Lentil Soup,lunch
Chicken Caesar Salad,lunch
French Toast,breakfast
Moussaka,dinner
Paella Valenciana,dinner
Falafel Pita Pockets,lunch
Tom Yum Soup,dinner
Shepherd's Pie,dinner
Pancakes,breakfast
Kimchi Jjigae (Kimchi Stew),dinner
Green Curry with Chicken,dinner
Guacamole,afternoon_snack
Spaghetti Carbonara,dinner
Fruit Salad,morning_snack
Apple Crumble,afternoon_snack
Chicken Katsu Curry,dinner
Chicken Shawarma,lunch
Hummus Wrap,lunch
Potato Leek Soup,lunch
Butter Chicken,dinner
Caprese Pasta Salad,lunch
Ratatouille Tian,dinner
Chicken and Dumplings,dinner
Baklava,afternoon_snack
Club Sandwich,lunch
Beef Vindaloo,dinner
Tuna Noodle Casserole,dinner
Chicken Marsala,dinner
Spring Rolls,afternoon_snack
Egg Salad Sandwich,lunch
Tom Kha Gai (Thai Chicken Coconut Soup),dinner
Grilled Cheese Sandwich,lunch
Beef Enchiladas,dinner
Pan-Seared Salmon with Lemon Butter Sauce,dinner
Pad See Ew,dinner
Chicken Stir-fry with Broccoli,dinner
Chicken Pot Pie with Puff Pastry,dinner
Chocolate Chip Cookies,afternoon_snack
Greek Salad,lunch
Aloo Gobi (Potato and Cauliflower Curry),dinner
Bun Bo Hue,dinner
Ful Medames,breakfast
Mofongo (Brazilian Mashed Plantains),dinner
Bangers and Mash,dinner
Etouffee (Cajun Stew),dinner
Pho Ga (Vietnamese Chicken Noodle Soup),dinner
Pierogi (Polish Dumplings),lunch
Empanadas (Argentinian Pastries),afternoon_snack
Gulasch (Hungarian Stew),dinner
Colcannon (Irish Mashed Potatoes),dinner
Bibimbap (Korean Mixed Rice Bowl),dinner
Jerk Chicken (American Dish),dinner
Borsch (Beet Soup),lunch
Curried Goat (Mexican Dish),dinner
Lumpia (Thai Spring Rolls),afternoon_snack
Tom Kha Kai Kai Dao (Thai Coconut Curry Omelet),dinner
Sauerbraten (German Pot Roast),dinner
Bulgogi (Korean Marinated Beef),dinner
Nigerian Jollof Rice,dinner
Sarma (Stuffed Cabbage Leaves),dinner
Gulas (Hungarian Goulash),dinner
Pirozhki (Russian Savory Buns),afternoon_snack
Chicken Kyiv (Chicken Kiev),dinner
Borscht (Ukrainian Borscht),lunch
Shakshuka (Israeli Eggs in Spicy Tomato Sauce),breakfast
Palačinky (Czech Sweet Crepes),breakfast
Pörkölt (Hungarian Pork Stew),dinner
Fiš paprikaš (Hungarian Fish Stew),dinner
Špekáčky (Grilled Sausages),lunch
Burek (Serbian Savory Pie),lunch
Ajvar (Serbian Pepper Spread),afternoon_snack
Cottage Cheese Pancakes (Serbian Palačinke),breakfast
Chicken Paprikash (Hungarian Paprika Chicken),dinner
Fish and Chips (English Classic),lunch
Chicken Kiev Pie (English),dinner
Ukrainian Borscht with Meatballs,lunch
Kreplach (Jewish Dumplings),lunch
Solyanka (Russian Meat Stew),dinner
Ceviche,lunch
Coq au Vin,dinner
Gyoza,afternoon_snack
Chicken Curry,dinner
Sauerbraten,dinner
Falafel,lunch
Goulash,dinner
Risotto,dinner
Tiramisu,afternoon_snack
Croissants,breakfast
Miso Soup,morning_snack
Tandoori Chicken,dinner
Ćevapčići (Grilled Minced Meat Rolls),lunch
Pljeskavica (Grilled Flatbread Burger),lunch
Punjene Paprike (Stuffed Peppers),dinner
Gibanica (Savory Pie),lunch
Pasulj (Bean Stew),dinner
Popara (Cornbread with Cheese),breakfast
Zeljanka (Sauerkraut Stew),lunch